district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
Ghoryan,Herat,18373,17580,35953,28663,28054,56717,47036,45634,92670,1395
Obeh,Herat,1851,1851,3702,38177,36835,75012,40028,38686,78714,1395
Kohsan,Herat,,,0,28297,28175,56472,28297,28175,56472,1395
Shindand,Herat,2776,2511,5287,90747,89649,180396,93523,92160,185683,1395
Farsi,Herat,,,0,16466,15368,31834,16466,15368,31834,1395
Chishti Sharif,Herat,,,0,12563,12075,24638,12563,12075,24638,1395
province Center (Farah),Farah,19827,18506,38333,40007,38299,78306,59834,56805,116639,1395
Posht Road,Farah,,,0,21711,20491,42202,21711,20491,42202,1395
Khak-i-safed,Farah,,,0,15978,15490,31468,15978,15490,31468,1395
Qala-i-kah,Farah,,,0,16222,15734,31956,16222,15734,31956,1395
Sheibkoh,Farah,,,0,12319,11953,24272,12319,11953,24272,1395
Bala Blook,Farah,,,0,38177,35982,74159,38177,35982,74159,1395
Anar Dara,Farah,,,0,14758,14149,28907,14758,14149,28907,1395
Bakwa,Farah,,,0,18906,17930,36836,18906,17930,36836,1395
Lash-i- Jaween,Farah,,,0,14881,14148,29029,14881,14148,29029,1395
Gulestan,Farah,,,0,23053,21955,45008,23053,21955,45008,1395
Pur Chaman,Farah,,,0,28785,26712,55497,28785,26712,55497,1395
province Center (Zaranj),Nimroz,13879,13351,27230,16466,15612,32078,30345,28963,59308,1395
Kang,Nimroz,,,0,11831,11466,23297,11831,11466,23297,1395
Asl-i-chakhansur,Nimroz,,,0,12563,12075,24638,12563,12075,24638,1395
Char Burjak,Nimroz,,,0,14149,13295,27444,14149,13295,27444,1395
Khashrod,Nimroz,,,0,13417,12929,26346,13417,12929,26346,1395
Dularam,Nimroz,,,0,3537,3293,6830,3537,3293,6830,1395
province Center (Kabul),Kabul,2022748,1938739,3961487,,,0,2022748,1938739,3961487,1396
Paghman,Kabul,11743,11113,22856,54662,51325,105987,66405,62438,128843,1396
Chahar Asyab,Kabul,,,0,20172,18504,38676,20172,18504,38676,1396
Bagrami,Kabul,,,0,30133,28377,58510,30133,28377,58510,1396
Deh Sabz,Kabul,,,0,29386,27637,57023,29386,27637,57023,1396
Shakar Dara,Kabul,,,0,44328,42446,86774,44328,42446,86774,1396
Musahi,Kabul,,,0,12700,11968,24668,12700,11968,24668,1396
Mir Bacha kot,Kabul,,,0,28016,27148,55164,28016,27148,55164,1396
Khak-i-Jabar,Kabul,,,0,7845,7279,15124,7845,7279,15124,1396
Kalakan,Kabul,,,0,16436,15546,31982,16436,15546,31982,1396
Guldara,Kabul,,,0,12451,11722,24173,12451,11722,24173,1396
Farza,Kabul,,,0,11704,10981,22685,11704,10981,22685,1396
Estalef,Kabul,,,0,18179,17274,35453,18179,17274,35453,1396
Qara Bagh,Kabul,,,0,41215,39361,80576,41215,39361,80576,1396
Surubi,Kabul,,,0,29884,28626,58510,29884,28626,58510,1396
province Center (Mahmood Raqi),Kapisa,937,686,1623,33495,32701,66196,34432,33387,67819,1396
Hissa-e-Duwumi Kohistan,Kapisa,,,0,24156,23322,47478,24156,23322,47478,1396
Koh Band,Kapisa,,,0,12451,12341,24792,12451,12341,24792,1396
Hissa-e-Awali Kohistan,Kapisa,,,0,36359,35415,71774,36359,35415,71774,1396
Nijrab,Kapisa,,,0,60141,58368,118509,60141,58368,118509,1396
Tagab,Kapisa,,,0,42833,42453,85286,42833,42453,85286,1396
Alasai,Kapisa,,,0,20546,19370,39916,20546,19370,39916,1396
province Center (Charikar),Parwan,30133,30321,60454,65121,62064,127185,95254,92385,187639,1396
Bagram,Parwan,,,0,55409,53926,109335,55409,53926,109335,1396
Shinwari,Parwan,,,0,22039,21347,43386,22039,21347,43386,1396
Saidkheil,Parwan,,,0,24655,23443,48098,24655,23443,48098,1396
Jabull saraj,Parwan,934,960,1894,33370,32206,65576,34304,33166,67470,1396
Salang,Parwan,,,0,13822,13574,27396,13822,13574,27396,1396
syahgird ('Ghurband),Parwan,,,0,51176,50846,102022,51176,50846,102022,1396
Koh-e- Safi,Parwan,,,0,16561,16165,32726,16561,16165,32726,1396
Surkhi parsa,Parwan,,,0,22039,21100,43139,22039,21100,43139,1396
Shaykh Ali,Parwan,,,0,13323,12709,26032,13323,12709,26032,1396
province Center (Maidan Shahr),Wardak,1600,1646,3246,20172,19248,39420,21772,20894,42666,1396
Nerkh,Wardak,,,0,31129,28993,60122,31129,28993,60122,1396
Jalrez,Wardak,,,0,28638,27269,55907,28638,27269,55907,1396
Chak-e- Wardak,Wardak,,,0,45822,43183,89005,45822,43183,89005,1396
Sayyid Abad,Wardak,,,0,63005,59470,122475,63005,59470,122475,1396
Daimir Dad,Wardak,,,0,16685,16041,32726,16685,16041,32726,1396
Hissa-e- awali Behsud,Wardak,,,0,19922,19126,39048,19922,19126,39048,1396
Jaghatoo,Wardak,,,0,24654,23567,48221,24654,23567,48221,1396
Markaz-e- Behsud,Wardak,,,0,64126,61696,125822,64126,61696,125822,1396
province Center(Puli Alam),Logar,2934,2881,5815,53916,51948,105864,56850,54829,111679,1396
Baraki Barak,Logar,2266,2332,4598,44950,42939,87889,47216,45271,92487,1396
Charkh,Logar,,,0,23907,22951,46858,23907,22951,46858,1396
khushi,Logar,,,0,12949,12463,25412,12949,12463,25412,1396
Mohammad Agha,Logar,,,0,40841,38743,79584,40841,38743,79584,1396
Khar war,Logar,,,0,14071,13573,27644,14071,13573,27644,1396
Azra,Logar,,,0,11081,10364,21445,11081,10364,21445,1396
province Center (Jalalabad),Ningarhar,121857,118111,239968,,,0,121857,118111,239968,1396
Behsud,Ningarhar,,,0,61137,58734,119871,61137,58734,119871,1396
Surkh Rud,Ningarhar,,,0,65744,61317,127061,65744,61317,127061,1396
Chapar har,Ningarhar,,,0,32499,31094,63593,32499,31094,63593,1396
Kama,Ningarhar,,,0,41712,39359,81071,41712,39359,81071,1396
Kuzkunar,Ningarhar,,,0,30008,28006,58014,30008,28006,58014,1396
Rodat,Ningarhar,,,0,37604,35286,72890,37604,35286,72890,1396
Khogyani,Ningarhar,2535,2469,5004,68483,64280,132763,71018,66749,137767,1396
Bati Kot,Ningarhar,,,0,40842,38990,79832,40842,38990,79832,1396
Deh Bala,Ningarhar,,,0,21914,20605,42519,21914,20605,42519,1396
Pachir Waagam,Ningarhar,,,0,23160,21714,44874,23160,21714,44874,1396
Darah -e- Noor,Ningarhar,,,0,21790,20729,42519,21790,20729,42519,1396
Kott,Ningarhar,,,0,27892,27024,54916,27892,27024,54916,1396
Goshta,Ningarhar,,,0,14693,14067,28760,14693,14067,28760,1396
Achin,Ningarhar,,,0,54040,51700,105740,54040,51700,105740,1396
Shinwar,Ningarhar,,,0,32374,30847,63221,32374,30847,63221,1396
Muhmand ِِDara,Ningarhar,,,0,24406,22948,47354,24406,22948,47354,1396
Lalpoor,Ningarhar,,,0,11082,10488,21570,11082,10488,21570,1396
Sher Zad,Ningarhar,,,0,35736,34179,69915,35736,34179,69915,1396
Nazyan,Ningarhar,,,0,8094,7402,15496,8094,7402,15496,1396
Hesarak,Ningarhar,,,0,16685,15793,32478,16685,15793,32478,1396
Dur Baba,Ningarhar,,,0,12701,11843,24544,12701,11843,24544,1396
province Center (Mehterlam),Laghman,2803,2607,5410,67737,63663,131400,70540,66270,136810,1396
Qarghayee,Laghman,,,0,53168,50217,103385,53168,50217,103385,1396
Alishing,Laghman,,,0,38600,36645,75245,38600,36645,75245,1396
Alingar,Laghman,,,0,52545,49476,102021,52545,49476,102021,1396
Dawlat Shah,Laghman,,,0,18054,17027,35081,18054,17027,35081,1396
Bad pakh,Laghman,,,0,3985,3825,7810,3985,3825,7810,1396
province Center (Bazarak),Panjshir,,,0,10210,9624,19834,10210,9624,19834,1396
Rukha,Panjshir,,,0,12451,11722,24173,12451,11722,24173,1396
Darah,Panjshir,,,0,7471,7157,14628,7471,7157,14628,1396
Hissa-e- Awal (Khinj),Panjshir,,,0,21665,20482,42147,21665,20482,42147,1396
Unaba,Panjshir,,,0,9837,9129,18966,9837,9129,18966,1396
Shutul,Panjshir,,,0,5852,5676,11528,5852,5676,11528,1396
Paryan,Panjshir,,,0,7970,7650,15620,7970,7650,15620,1396
Ab shar,Panjshir,,,0,5977,5675,11652,5977,5675,11652,1396
province Center (Pul-i-Khumri),Baghlan,57356,56114,113470,57402,53793,111195,114758,109907,224665,1396
Dahana-e-Ghuri,Baghlan,935,823,1758,31129,29241,60370,32064,30064,62128,1396
Dooshi,Baghlan,,,0,36234,34300,70534,36234,34300,70534,1396
Nahreen,Baghlan,2803,2607,5410,34864,32819,67683,37667,35426,73093,1396
Baghlan-e- Jadeed,Baghlan,36126,36905,73031,56779,54043,110822,92905,90948,183853,1396
Khenjan,Baghlan,,,0,16436,15670,32106,16436,15670,32106,1396
Andarab,Baghlan,,,0,13821,13079,26900,13821,13079,26900,1396
Deh Salah,Baghlan,,,0,17557,16161,33718,17557,16161,33718,1396
Khwaja hejran (Jalga),Baghlan,,,0,13074,12090,25164,13074,12090,25164,1396
Burka,Baghlan,,,0,28638,26897,55535,28638,26897,55535,1396
Talah-o-barfak,Baghlan,,,0,16561,15300,31861,16561,15300,31861,1396
Pul –e-Hisar,Baghlan,,,0,15191,13940,29131,15191,13940,29131,1396
Khost –o-Fereng,Baghlan,,,0,34367,32201,66568,34367,32201,66568,1396
Gozargah-e- Noor,Baghlan,,,0,5603,5057,10660,5603,5057,10660,1396
Freng-o-Gharoo,Baghlan,,,0,8965,8513,17478,8965,8513,17478,1396
province Center (Bamyan),Bamyan,6664,6860,13524,37480,37270,74750,44144,44130,88274,1396
Shebar,Bamyan,,,0,16187,14928,31115,16187,14928,31115,1396
Saighan,Bamyan,,,0,12949,12339,25288,12949,12339,25288,1396
Kohmard,Bamyan,,,0,19673,18631,38304,19673,18631,38304,1396
Yakawlang,Bamyan,,,0,32623,31589,64212,32623,31589,64212,1396
Panjab,Bamyan,,,0,36483,35415,71898,36483,35415,71898,1396
Waras,Bamyan,,,0,58647,56390,115037,58647,56390,115037,1396
Yakawlang NO 2,Bamyan,,,0,14444,13572,28016,14444,13572,28016,1396
province Center(Ghazni),Ghazni,31876,31418,63294,56032,53799,109831,87908,85217,173125,1396
Khogiani,Ghazni,,,0,10958,10240,21198,10958,10240,21198,1396
Khwaja Omari,Ghazni,,,0,10086,9872,19958,10086,9872,19958,1396
Waghaz,Ghazni,,,0,21044,19616,40660,21044,19616,40660,1396
Deh Yak,Ghazni,,,0,26397,25171,51568,26397,25171,51568,1396
Jaghatoo,Ghazni,,,0,17183,16287,33470,17183,16287,33470,1396
Andar,Ghazni,,,0,67861,63663,131524,67861,63663,131524,1396
Zanakhan,Ghazni,,,0,6848,6416,13264,6848,6416,13264,1396
Rashidan,Ghazni,,,0,9712,9254,18966,9712,9254,18966,1396
Nawur,Ghazni,,,0,50927,48863,99790,50927,48863,99790,1396
Qara Bagh,Ghazni,,,0,77325,73290,150615,77325,73290,150615,1396
Giro,Ghazni,,,0,20172,18380,38552,20172,18380,38552,1396
Ab Band,Ghazni,,,0,15066,13941,29007,15066,13941,29007,1396
Jaghuri,Ghazni,,,0,95254,90937,186191,95254,90937,186191,1396
Muqur,Ghazni,,,0,27643,25413,53056,27643,25413,53056,1396
Malestan,Ghazni,,,0,43705,42821,86526,43705,42821,86526,1396
Gelan,Ghazni,,,0,31377,29612,60989,31377,29612,60989,1396
Ajristan,Ghazni,,,0,15689,14682,30371,15689,14682,30371,1396
Nawa,Ghazni,,,0,16187,15175,31362,16187,15175,31362,1396
province Center(Sharan),Paktika,1603,1372,2975,25650,24307,49957,27253,25679,52932,1396
Mata Khan,Paktika,,,0,13572,12708,26280,13572,12708,26280,1396
Yosuf Khel,Paktika,,,0,7347,6909,14256,7347,6909,14256,1396
Yahya Khel,Paktika,,,0,9463,8883,18346,9463,8883,18346,1396
Sar Rawza,Paktika,,,0,12576,11844,24420,12576,11844,24420,1396
Omna,Paktika,,,0,6599,6169,12768,6599,6169,12768,1396
Zarghun Shahr,Paktika,,,0,16187,15299,31486,16187,15299,31486,1396
Gomal,Paktika,,,0,4234,3948,8182,4234,3948,8182,1396
Jani Khel,Paktika,,,0,13074,12214,25288,13074,12214,25288,1396
Surubi,Paktika,,,0,6724,6416,13140,6724,6416,13140,1396
Urgoon,Paktika,,,0,30008,28255,58263,30008,28255,58263,1396
Ziruk,Paktika,,,0,10460,9870,20330,10460,9870,20330,1396
Nika,Paktika,,,0,6849,6291,13140,6849,6291,13140,1396
Barmal,Paktika,,,0,18926,17767,36693,18926,17767,36693,1396
Giyan,Paktika,,,0,18926,17767,36693,18926,17767,36693,1396
Dela-wa-khoshmand,Paktika,,,0,13697,12831,26528,13697,12831,26528,1396
Wazakhwah,Paktika,,,0,12576,11844,24420,12576,11844,24420,1396
Wormamay,Paktika,,,0,1868,1851,3719,1868,1851,3719,1396
Turwo,Paktika,,,0,1121,1111,2232,1121,1111,2232,1396
province Center(Gardez),Paktia,13070,12897,25967,32249,30600,62849,45319,43497,88816,1396
Ahmad Abad,Paktia,,,0,14818,14562,29380,14818,14562,29380,1396
Zurmat,Paktia,,,0,58273,55152,113425,58273,55152,113425,1396
Shwak,Paktia,,,0,2988,2838,5826,2988,2838,5826,1396
Wuza Zadran,Paktia,,,0,19424,18012,37436,19424,18012,37436,1396
Said Karam,Paktia,,,0,30258,28500,58758,30258,28500,58758,1396
Jaji,Paktia,,,0,34242,32202,66444,34242,32202,66444,1396
Laja Ahmad khel,Paktia,,,0,12451,11597,24048,12451,11597,24048,1396
Jani Khel,Paktia,,,0,19051,17766,36817,19051,17766,36817,1396
Samkani,Paktia,,,0,26647,26037,52684,26647,26037,52684,1396
Dand Patan,Paktia,,,0,14444,13572,28016,14444,13572,28016,1396
laja mangel,Paktia,,,0,10086,9748,19834,10086,9748,19834,1396
Mirzaka,Paktia,,,0,4732,4318,9050,4732,4318,9050,1396
province Center(Khost),Khost,6270,6037,12307,67986,65150,133136,74256,71187,145443,1396
Manduzay (Esmayel khil),Khost,,,0,30756,28746,59502,30756,28746,59502,1396
Gurbuz,Khost,,,0,14320,13324,27644,14320,13324,27644,1396
Tanay,Khost,,,0,32125,30724,62849,32125,30724,62849,1396
Musa khel,Khost,,,0,22163,21100,43263,22163,21100,43263,1396
Nadir Shah kot,Khost,,,0,17433,16161,33594,17433,16161,33594,1396
Sabari (Yaqubi),Khost,,,0,38226,36523,74749,38226,36523,74749,1396
Tirzayee (Ali Sher),Khost,,,0,24405,22701,47106,24405,22701,47106,1396
Baak,Khost,,,0,11953,11352,23305,11953,11352,23305,1396
Qalandar,Khost,,,0,5603,5181,10784,5603,5181,10784,1396
Spera,Khost,,,0,13323,12337,25660,13323,12337,25660,1396
Shamul,Khost,,,0,7471,6909,14380,7471,6909,14380,1396
Jaji Maidan,Khost,,,0,13199,12213,25412,13199,12213,25412,1396
province Center (Asad Abad),Kunar,7472,7135,14607,10833,10117,20950,18305,17252,35557,1396
Mara wara,Kunar,,,0,10958,10612,21570,10958,10612,21570,1396
Watapoor,Kunar,,,0,14818,14066,28884,14818,14066,28884,1396
Narang Wa Badil,Kunar,,,0,16311,15547,31858,16311,15547,31858,1396
Sar Kani,Kunar,,,0,14693,14067,28760,14693,14067,28760,1396
Shigal,Kunar,,,0,6455,6220,12675,6455,6220,12675,1396
Dara-e- Pech,Kunar,,,0,29759,27884,57643,29759,27884,57643,1396
Bar Kunar,Kunar,,,0,11828,11353,23181,11828,11353,23181,1396
Sawkai,Kunar,,,0,19424,18260,37684,19424,18260,37684,1396
Khas Kunar,Kunar,,,0,18802,18138,36940,18802,18138,36940,1396
Ghazi Abad,Kunar,,,0,10086,9624,19710,10086,9624,19710,1396
Dangam,Kunar,,,0,9214,8636,17850,9214,8636,17850,1396
Chapa Dara,Kunar,,,0,16934,15792,32726,16934,15792,32726,1396
Noorgal,Kunar,,,0,17308,16038,33346,17308,16038,33346,1396
Nari,Kunar,,,0,15066,14065,29131,15066,14065,29131,1396
Sheltan,Kunar,,,0,9359,8832,18191,9359,8832,18191,1396
province Center (Paroon),Nooristan,,,0,7347,6909,14256,7347,6909,14256,1396
Waygal,Nooristan,,,0,10958,9744,20702,10958,9744,20702,1396
Wama,Nooristan,,,0,5976,5676,11652,5976,5676,11652,1396
Noor Gram,Nooristan,,,0,17556,16533,34089,17556,16533,34089,1396
Duab,Nooristan,,,0,4108,4197,8305,4108,4197,8305,1396
Kamdish,Nooristan,,,0,13323,13329,26652,13323,13329,26652,1396
Mandol,Nooristan,,,0,10833,9993,20826,10833,9993,20826,1396
Bargi Matal,Nooristan,,,0,8219,8144,16363,8219,8144,16363,1396
province center (Faiz Abad),Badakhshan,17873,17561,35434,18304,17646,35950,36177,35207,71384,1396
Urgo,Badakhshan,,,0,42709,39974,82683,42709,39974,82683,1396
Arghanj Khwah,Badakhshan,,,0,8591,8391,16982,8591,8391,16982,1396
Yaftal-e-Sufla,Badakhshan,,,0,28141,27519,55660,28141,27519,55660,1396
Khash,Badakhshan,,,0,20545,19619,40164,20545,19619,40164,1396
Baharak,Badakhshan,,,0,15315,15055,30370,15315,15055,30370,1396
Darayem,Badakhshan,,,0,33121,31835,64956,33121,31835,64956,1396
Hissa-e-Awali Kohistan,Badakhshan,,,0,9089,8389,17478,9089,8389,17478,1396
Yawan,Badakhshan,,,0,17681,16533,34214,17681,16533,34214,1396
Jurm,Badakhshan,2001,1921,3922,18180,17646,35826,20181,19567,39748,1396
Tashkan,Badakhshan,,,0,16311,15175,31486,16311,15175,31486,1396
Shuhada,Badakhshan,,,0,18802,17643,36445,18802,17643,36445,1396
Shahr-i-Buzurg,Badakhshan,,,0,28016,27148,55164,28016,27148,55164,1396
Raghistan,Badakhshan,,,0,21542,20234,41776,21542,20234,41776,1396
Kishm,Badakhshan,,,0,43830,41456,85286,43830,41456,85286,1396
Wardooj,Badakhshan,,,0,11829,11228,23057,11829,11228,23057,1396
Tagab,Badakhshan,,,0,15191,14436,29627,15191,14436,29627,1396
Yamgan(Girwan),Badakhshan,,,0,14071,13077,27148,14071,13077,27148,1396
Sheghnan,Badakhshan,,,0,15190,14189,29379,15190,14189,29379,1396
Khwahan,Badakhshan,,,0,8840,8638,17478,8840,8638,17478,1396
Kufab,Badakhshan,,,0,11829,11723,23552,11829,11723,23552,1396
Darwaz-e- Payin (Mamay),Badakhshan,,,0,14195,13697,27892,14195,13697,27892,1396
Eshkashem,Badakhshan,,,0,7471,7157,14628,7471,7157,14628,1396
Shiki,Badakhshan,,,0,14071,13697,27768,14071,13697,27768,1396
Zebak,Badakhshan,,,0,4358,3948,8306,4358,3948,8306,1396
Keren –o-Menjan,Badakhshan,,,0,5105,4935,10040,5105,4935,10040,1396
Darwaz-e- Bala (Nesay),Badakhshan,,,0,12327,12093,24420,12327,12093,24420,1396
Wakhan,Badakhshan,,,0,8094,7650,15744,8094,7650,15744,1396
province Center (Taluqan),Takhar,38264,38690,76954,83799,79336,163135,122063,118026,240089,1396
Hazar Sumuch,Takhar,,,0,7471,7033,14504,7471,7033,14504,1396
Baharak,Takhar,,,0,16685,15917,32602,16685,15917,32602,1396
Bangi,Takhar,,,0,18802,18263,37065,18802,18263,37065,1396
Chal,Takhar,,,0,15440,14311,29751,15440,14311,29751,1396
Namak Ab,Takhar,,,0,6599,6293,12892,6599,6293,12892,1396
Kalafgan,Takhar,,,0,18802,18386,37188,18802,18386,37188,1396
Farkhar,Takhar,1331,1509,2840,23907,22703,46610,25238,24212,49450,1396
Khwaja Ghar,Takhar,3734,3704,7438,32498,30971,63469,36232,34675,70907,1396
Rustaq,Takhar,6937,6723,13660,82305,77482,159787,89242,84205,173447,1396
Eshkamesh,Takhar,,,0,31628,30602,62230,31628,30602,62230,1396
Dashti Qala,Takhar,,,0,17183,16535,33718,17183,16535,33718,1396
Warsaj,Takhar,,,0,20670,19370,40040,20670,19370,40040,1396
Khwaja Bahawuddin,Takhar,,,0,12327,12217,24544,12327,12217,24544,1396
Darqad,Takhar,,,0,14818,13570,28388,14818,13570,28388,1396
Chahab,Takhar,12805,12485,25290,29884,28378,58262,42689,40863,83552,1396
Yangi Qala,Takhar,5205,4939,10144,18926,18138,37064,24131,23077,47208,1396
province Center (Kunduz),Kunduz,84741,82347,167088,83744,80685,164429,168485,163032,331517,1396
Chahar Darah,Kunduz,,,0,39596,37881,77477,39596,37881,77477,1396
Ali Abad,Kunduz,,,0,25277,24432,49709,25277,24432,49709,1396
Khan Abad,Kunduz,22144,21540,43684,51084,50498,101582,73228,72038,145266,1396
Hazrati Imam Sahib,Kunduz,18805,18522,37327,89496,85818,175314,108301,104340,212641,1396
Dasht-i- Archi,Kunduz,1870,1646,3516,43705,42201,85906,45575,43847,89422,1396
Qala –i-Zal,Kunduz,10138,9879,20017,27518,26406,53924,37656,36285,73941,1396
Calbad,Kunduz,,,0,17339,16224,33563,17339,16224,33563,1396
Gultipa,Kunduz,,,0,5160,4826,9986,5160,4826,9986,1396
Akhtash,Kunduz,,,0,13291,12436,25727,13291,12436,25727,1396
province Center (Aybak),Samangan,15328,15778,31106,40592,38372,78964,55920,54150,110070,1396
Hazrat –i-Sultan,Samangan,,,0,22662,20972,43634,22662,20972,43634,1396
Khuram Wa Sarbagh,Samangan,,,0,21542,20482,42024,21542,20482,42024,1396
Feroz Nakhcheer,Samangan,,,0,7097,6663,13760,7097,6663,13760,1396
Rui- Do- Ab,Samangan,,,0,25152,22945,48097,25152,22945,48097,1396
Dara -e-soof-i-Payin,Samangan,,,0,38973,36396,75369,38973,36396,75369,1396
Dara -e-soof-e- Bala,Samangan,,,0,34616,33564,68180,34616,33564,68180,1396
province Center (Mazar-e- sharif),Balkh,216369,211278,427647,,,0,216369,211278,427647,1396
Nahr-i-shahi,Balkh,,,0,24281,23073,47354,24281,23073,47354,1396
Dehdadi,Balkh,,,0,36608,34546,71154,36608,34546,71154,1396
Char kent,Balkh,,,0,24156,22702,46858,24156,22702,46858,1396
Marmul,Balkh,,,0,6101,5923,12024,6101,5923,12024,1396
Balkh,Balkh,8406,8094,16500,56281,53922,110203,64687,62016,126703,1396
Sholgara,Balkh,5602,5488,11090,56156,53179,109335,61758,58667,120425,1396
Chamtal,Balkh,,,0,49433,47258,96691,49433,47258,96691,1396
Dawlat Abad,Balkh,5871,5625,11496,51052,48366,99418,56923,53991,110914,1396
Khulm,Balkh,26947,26068,53015,12078,11475,23553,39025,37543,76568,1396
Char Bolak,Balkh,,,0,43705,41705,85410,43705,41705,85410,1396
Shortepa,Balkh,,,0,21541,20234,41775,21541,20234,41775,1396
Kaldar,Balkh,,,0,10833,10241,21074,10833,10241,21074,1396
Koshendah,Balkh,,,0,26273,25047,51320,26273,25047,51320,1396
Zari,Balkh,,,0,23658,22580,46238,23658,22580,46238,1396
province Center (Sar-e-Pul),Sar-i-Pul,16408,15915,32323,68235,64033,132268,84643,79948,164591,1396
Sayyad,Sar-i-Pul,,,0,29884,27635,57519,29884,27635,57519,1396
Kohistanat,Sar-i-Pul,,,0,43456,40963,84419,43456,40963,84419,1396
Sozma Qala,Sar-i-Pul,,,0,26647,25541,52188,26647,25541,52188,1396
Sancharak,Sar-i-Pul,6939,6586,13525,48685,44906,93591,55624,51492,107116,1396
Gosfandi,Sar-i-Pul,,,0,29510,30240,59750,29510,30240,59750,1396
Balkhab,Sar-i-Pul,,,0,27394,25662,53056,27394,25662,53056,1396
province Center (Chighcheran),Ghor,3734,3705,7439,69106,66633,135739,72840,70338,143178,1396
Duleena,Ghor,,,0,19424,18632,38056,19424,18632,38056,1396
Dawlatyar,Ghor,,,0,17432,17030,34462,17432,17030,34462,1396
Char Sada,Ghor,,,0,14818,14066,28884,14818,14066,28884,1396
Pasaband,Ghor,,,0,51425,48612,100037,51425,48612,100037,1396
Shahrak,Ghor,,,0,32747,30350,63097,32747,30350,63097,1396
Lal-o-Sar-i-Jangal,Ghor,,,0,59768,58368,118136,59768,58368,118136,1396
Taywara,Ghor,,,0,50180,46263,96443,50180,46263,96443,1396
Tulak,Ghor,,,0,28141,26155,54296,28141,26155,54296,1396
Saghar,Ghor,,,0,19051,17518,36569,19051,17518,36569,1396
province Center (Nili),Dehkondi,,,0,22164,20851,43015,22164,20851,43015,1396
Shahrestan,Dehkondi,,,0,36234,33929,70163,36234,33929,70163,1396
Ishterlai,Dehkondi,,,0,25899,24306,50205,25899,24306,50205,1396
Khadeer,Dehkondi,,,0,25401,23812,49213,25401,23812,49213,1396
Giti,Dehkondi,,,0,18304,17026,35330,18304,17026,35330,1396
Mir Amor,Dehkondi,,,0,33993,32079,66072,33993,32079,66072,1396
Sang -e- Takht,Dehkondi,,,0,27518,25910,53428,27518,25910,53428,1396
Gujran,Dehkondi,,,0,19051,17889,36940,19051,17889,36940,1396
